"county","bldg_id","useful_cols_in_bldg_count"
"G4500010",234271,8
"G4500010",350625,8
"G4500010",29915,11
"G4500010",380643,15
"G4500010",544916,15
"G4500010",32902,16
"G4500010",100907,16
"G4500010",107360,17
"G4500010",221369,17
"G4500010",286643,17
"G4500010",362705,17
"G4500010",15437,18
"G4500010",4811,19
"G4500030",10521,8
"G4500030",58574,8
"G4500030",80713,8
"G4500030",124178,8
"G4500030",185086,8
"G4500030",320987,8
"G4500030",113205,9
"G4500030",173828,9
"G4500030",193855,9
"G4500030",194315,9
"G4500030",309801,9
"G4500030",476624,9
"G4500030",479966,9
"G4500030",524371,9
"G4500030",529166,9
"G4500030",272466,10
"G4500030",163826,11
"G4500030",405941,11
"G4500030",219130,14
"G4500030",327831,14
"G4500030",462577,14
"G4500030",467506,14
"G4500030",12250,15
"G4500030",131555,15
"G4500030",161345,15
"G4500030",187490,15
"G4500030",224541,15
"G4500030",227870,15
"G4500030",328057,15
"G4500030",430102,15
"G4500030",473297,15
"G4500030",513445,15
"G4500030",539469,15
"G4500030",6386,16
"G4500030",11978,16
"G4500030",15620,16
"G4500030",23580,16
"G4500030",29062,16
"G4500030",29317,16
"G4500030",38189,16
"G4500030",40875,16
"G4500030",43686,16
"G4500030",49943,16
"G4500030",55894,16
"G4500030",61093,16
"G4500030",65290,16
"G4500030",126251,16
"G4500030",149119,16
"G4500030",151291,16
"G4500030",230167,16
"G4500030",232346,16
"G4500030",237535,16
"G4500030",248660,16
"G4500030",260383,16
"G4500030",267763,16
"G4500030",268375,16
"G4500030",269403,16
"G4500030",278131,16
"G4500030",299534,16
"G4500030",302736,16
"G4500030",319550,16
"G4500030",17786,17
"G4500030",20606,17
"G4500030",22657,17
"G4500030",44697,17
"G4500030",60295,17
"G4500030",75915,17
"G4500030",88024,17
"G4500030",92084,17
"G4500030",141361,17
"G4500030",144188,17
"G4500030",146834,17
"G4500030",180828,17
"G4500030",184332,17
"G4500030",187229,17
"G4500030",188187,17
"G4500030",195169,17
"G4500030",198471,17
"G4500030",200034,17
"G4500030",200074,17
"G4500030",205525,17
"G4500030",207425,17
"G4500030",216874,17
"G4500030",238478,17
"G4500030",246025,17
"G4500030",258144,17
"G4500030",260510,17
"G4500030",267041,17
"G4500030",267992,17
"G4500030",275981,17
"G4500030",277961,17
"G4500030",291427,17
"G4500030",318597,17
"G4500030",319724,17
"G4500030",323940,17
"G4500030",325328,17
"G4500030",329152,17
"G4500030",335411,17
"G4500030",346282,17
"G4500030",356004,17
"G4500030",366355,17
"G4500030",367556,17
"G4500030",369833,17
"G4500030",387261,17
"G4500030",393532,17
"G4500030",394162,17
"G4500030",400113,17
"G4500030",408742,17
"G4500030",416901,17
"G4500030",23529,18
"G4500030",39469,18
"G4500030",42982,18
"G4500030",53356,18
"G4500030",63364,18
"G4500030",84220,18
"G4500030",98136,18
"G4500030",129198,18
"G4500030",137916,18
"G4500030",138301,18
"G4500030",158151,18
"G4500030",177800,18
"G4500030",181695,18
"G4500030",188922,18
"G4500030",195030,18
"G4500030",196831,18
"G4500030",214264,18
"G4500030",222322,18
"G4500030",224429,18
"G4500030",230516,18
"G4500030",234197,18
"G4500030",243952,18
"G4500030",246587,18
"G4500030",265096,18
"G4500030",278278,18
"G4500030",310325,18
"G4500030",60774,19
"G4500030",79233,19
"G4500030",134089,19
"G4500030",150953,19
"G4500030",156175,19
"G4500030",166649,19
"G4500030",166737,19
"G4500030",207099,19
"G4500030",228818,19
"G4500030",298519,19
"G4500030",446418,19
"G4500030",473782,19
"G4500030",501452,19
"G4500030",41544,20
"G4500030",224132,20
"G4500030",231436,20
"G4500030",267818,20
"G4500030",322947,20
"G4500030",232770,21
"G4500050",21632,8
"G4500050",66862,8
"G4500050",197103,9
"G4500050",131920,17
"G4500050",367924,18
"G4500050",467693,18
"G4500050",60903,19
"G4500050",389592,19
"G4500070",17983,8
"G4500070",127802,8
"G4500070",190024,8
"G4500070",220411,8
"G4500070",225749,8
"G4500070",229090,8
"G4500070",248613,8
"G4500070",373558,8
"G4500070",375494,8
"G4500070",395545,8
"G4500070",419992,8
"G4500070",431664,8
"G4500070",494055,8
"G4500070",524293,8
"G4500070",529441,8
"G4500070",10599,9
"G4500070",92106,9
"G4500070",112336,9
"G4500070",248255,9
"G4500070",263577,9
"G4500070",332061,9
"G4500070",435529,9
"G4500070",541541,9
"G4500070",106359,10
"G4500070",385929,10
"G4500070",474985,11
"G4500070",409647,13
"G4500070",274523,14
"G4500070",380842,14
"G4500070",22434,15
"G4500070",59986,15
"G4500070",82817,15
"G4500070",110987,15
"G4500070",133388,15
"G4500070",140726,15
"G4500070",143973,15
"G4500070",193548,15
"G4500070",209210,15
"G4500070",238978,15
"G4500070",240917,15
"G4500070",276317,15
"G4500070",347798,15
"G4500070",481193,15
"G4500070",1410,16
"G4500070",4218,16
"G4500070",8983,16
"G4500070",19427,16
"G4500070",43233,16
"G4500070",51866,16
"G4500070",82844,16
"G4500070",110072,16
"G4500070",122474,16
